recommend_date,rank,stock_id,stock_name,total_score,current_price,forward_eps,eps_growth_pct,price_5d,return_5d_pct,price_20d,return_20d_pct,price_60d,return_60d_pct,hot_tags,recommendation
2026-06-18,2,2344,華邦電,65.4,218.5,,,211.5,-3.203661327231122,168.5,-22.883295194508012,,,,歷史回補
2026-06-18,3,2337,旺宏,63.4,169.0,,,172.0,1.775147928994092,138.5,-18.04733727810651,,,,歷史回補
2026-06-17,1,2408,南亞科,70.1,435.6,,,503.38,15.560146923783291,403.0,-7.483930211202939,,,,歷史回補
2026-06-17,2,2344,華邦電,65.7,199.0,,,222.0,11.557788944723612,174.0,-12.562814070351758,,,,歷史回補
2026-06-17,3,2337,旺宏,61.5,161.5,,,185.5,14.860681114551078,139.0,-13.931888544891645,,,,歷史回補
2026-06-16,1,2408,南亞科,68.1,423.64,,,458.03,8.117741478613905,419.15,-1.0598621471060388,,,,歷史回補
2026-06-16,2,2344,華邦電,66.9,197.0,,,218.5,10.91370558375635,183.0,-7.106598984771573,,,,歷史回補
2026-06-16,3,2327,國巨*,60.5,950.0,,,1080.0,13.684210526315788,1005.0,5.789473684210522,,,,歷史回補
2026-06-15,1,2344,華邦電,66.5,189.0,,,218.5,15.608465608465604,184.5,-2.3809523809523836,,,,歷史回補
2026-06-15,2,2408,南亞科,61.9,394.23,,,458.03,16.183446211602348,408.19,3.541080080156256,,,,歷史回補
2026-06-15,3,2327,國巨*,59.8,940.0,,,1080.0,14.893617021276606,1045.0,11.170212765957444,,,,歷史回補
2026-06-12,1,2408,南亞科,60.8,372.8,,,435.6,16.845493562231773,405.7,8.825107296137325,,,,歷史回補
2026-06-12,2,2344,華邦電,60.5,172.0,,,199.0,15.697674418604656,183.5,6.686046511627897,,,,歷史回補
2026-06-12,3,8299,群聯,56.5,2293.25,,,2313.11,0.866019840837251,2240.0,-2.3220320505832337,,,,歷史回補
2026-06-11,1,2327,國巨*,57.1,836.0,,,950.0,13.636363636363647,1140.0,36.36363636363635,,,,歷史回補
2026-06-11,2,2408,南亞科,56.2,338.91,,,423.64,25.000737658965487,419.65,23.823433950016202,,,,歷史回補
2026-06-11,3,8299,群聯,54.5,2184.05,,,2357.78,7.954488221423506,2270.0,3.935349465442628,,,,歷史回補
2026-06-10,1,2327,國巨*,54.4,813.17,,,940.0,15.596984640358102,1140.0,40.19208775532792,,,,歷史回補
2026-06-10,2,2408,南亞科,54.1,331.93,,,394.23,18.769017563944203,451.05,35.88708462627663,,,,歷史回補
2026-06-10,3,2344,華邦電,53.9,149.0,,,189.0,26.845637583892625,207.5,39.26174496644295,,,,歷史回補
2026-06-09,1,2408,南亞科,57.8,361.84,,,372.8,3.028963077603364,451.55,24.792726066769855,,,,歷史回補
2026-06-09,2,2327,國巨*,55.2,820.12,,,855.0,4.253036141052524,1040.0,26.810710627713007,,,,歷史回補
2026-06-09,3,2344,華邦電,54.0,156.5,,,172.0,9.904153354632594,203.0,29.712460063897762,,,,歷史回補
2026-06-08,1,2408,南亞科,57.2,338.41,,,372.8,10.162229248544662,447.56,32.25377500664872,,,,歷史回補
2026-06-08,2,1303,南亞,54.6,97.03,,,105.99,9.234257446150673,147.29,51.79841286200144,,,,歷史回補
2026-06-08,3,2327,國巨*,54.4,745.65,,,855.0,14.665057332528676,1015.0,36.122845839200714,,,,歷史回補
